year,region,npg,birth_rate,death_rate,gdw,urbanization
1992,Belgorod Oblast,-3.2,10.5,13.7,84.91,64.01
1992,Bryansk Oblast,-2.5,11.2,13.7,88.97,68.3
1992,Republic of Buryatia,3.4,13.3,9.9,79.68,59.77
1992,Vladimir Oblast,-4.3,9.1,13.4,79.57,79.6
1992,Volgograd Oblast,-1.4,10.6,12.0,78.89,75.78
1992,Vologda Oblast,-2.9,10.3,13.2,83.06,65.97
1992,Voronezh Oblast,-5.0,9.5,14.5,85.82,61.32
1992,Republic of Dagestan,16.3,22.9,6.6,94.99,44.12
1992,Jewish Autonomous Oblast,2.3,13.9,11.6,75.14,64.71
1992,Zabaykalsky Krai,4.1,14.2,10.1,78.31,64.31
1992,Ivanovo Oblast,-6.1,9.0,15.1,82.97,82.27
1992,Republic of Ingushetia,,,,97.53,27.06
1992,Irkutsk Oblast,1.2,12.6,11.4,73.43,80.38
1992,Kabardino-Balkar Republic,8.3,17.2,8.9,81.18,60.81
1992,Kaliningrad Oblast,-0.7,10.3,11.0,69.69,78.87
1992,Republic of Kalmykia,9.5,18.2,8.7,80.25,46.41
1992,Kaluga Oblast,-3.9,9.3,13.2,78.96,73.41
1992,Kamchatka Krai,2.8,10.2,7.4,49.64,81.54
1992,Karachay-Cherkess Republic,6.8,15.9,9.1,83.51,49.23
1992,Republic of Karelia,-2.4,10.1,12.5,73.44,82.02
1992,Kemerovo Oblast,-2.8,10.3,13.1,77.02,86.97
1992,Kirov Oblast,-2.9,10.1,13.0,83.51,69.79
1992,Kostroma Oblast,-5.2,9.3,14.5,85.13,69.11
1992,Krasnodar Krai,-2.4,11.5,13.9,83.1,54.18
1992,Krasnoyarsk Krai,0.4,11.0,10.6,69.97,73.65
1992,Republic of Crimea,,,,,
1992,Kurgan Oblast,-0.6,11.8,12.4,82.47,55.08
1992,Kursk Oblast,-5.2,9.7,14.9,87.12,59.21
1992,Leningrad Oblast,-5.6,8.6,14.2,83.75,66.21
